feature,grupo,pdf_referencia,tipo,descricao,calculo,unidade,n_obs,n_validos,n_missing,pct_missing,taxa_recuperacao_global,min,max,media,mediana,desvio_padrao,p25,p75,iqr,assimetria,curtose,n_outliers,teste_univariado,estatistica_univariada,p_valor,p_bonferroni,p_bh,neg_log10_p,significativa_univariada,tamanho_efeito,tipo_efeito,media_rec0,media_rec1,mediana_rec0,mediana_rec1,diff_medias,diff_padronizada,direcao_efeito,VIF,multicolinear,corr_max_abs,feature_mais_correlacionada,candidata_substituicao,coef_logit,odds_ratio,or_ic_inf,or_ic_sup,p_wald,LR_stat,df_lrt,p_lrt,delta_AIC,reduz_AIC,significativa_modelo,p_permutacao,n_permutacoes,decisao,motivo_decisao,test_level,data_analise,n_categorias,categorias,categoria_modal,freq_modal,categoria_menos_frequente,freq_minima
dist_to_goal,Posicional,2.4.2,continua,Distancia euclidiana ao gol adversario,sqrt((120-x)^2 + (40-y)^2),metros,15958,15958,0,0.0,0.2802,2.7586228448267485,122.87037885511707,70.00067376845499,70.79731631302874,26.43374994447019,49.94274166539872,91.28460985885724,41.34186819345852,-0.15174918714185415,-0.8325647157875187,0.0,Mann-Whitney U,24097397.0,1.4265891260021693e-09,2.9958371646045553e-08,3.3287079606717283e-09,8.845701090658286,True,0.10167187979410279,Cohen d,69.24844980740258,71.93330553777032,69.55228249310011,74.10398099967371,2.684855730367744,0.10167187979410279,recupera mais com valor alto,,False,0.4470788997019969,numerical_superiority,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
duration,Posicional,2.4.2,continua,Duracao do evento de pressao,atributo direto do evento,segundos,15958,15958,0,0.0,0.2802,0.017997,11.408008,0.9152280404185988,0.7107145,0.7563370696508948,0.474278,1.07466325,0.60038525,3.236999625974731,17.364499112643134,1189.0,Mann-Whitney U,27446137.0,1.3711655600152524e-11,2.87944767603203e-10,3.5993095950400377e-11,10.862910103591219,True,-0.06780555890469821,Cohen d,0.9295901828153564,0.878328481100425,0.720773,0.655457,-0.051261701714931385,-0.06780555890469821,recupera mais com valor baixo,,False,0.108275481258542,n_teammates_10m,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
minute,Contexto de jogo,2.4.3,continua,Minuto da partida,atributo direto do evento,minuto,15958,15958,0,0.0,0.2802,0.0,124.0,47.31802230855997,46.0,29.470871130796255,22.0,71.0,49.0,0.1918512567983957,-0.9287901094338467,0.0,Mann-Whitney U,25414728.5,0.3115550697708689,1.0,0.32713282325941234,0.5064651773073142,False,0.01870507509938767,Cohen d,47.16357621659267,47.7148288973384,46.0,46.0,0.5512526807457263,0.01870507509938767,recupera mais com valor alto,,False,0.025658280056250662,nearest_teammate_dist,False,,,,,,,,,,False,False,,,EXCLUIR,sem associacao univariada (p_BH >= alpha),1,2026-05-16T13:36:33,,,,,,
score_diff,Contexto de jogo,2.4.3,continua,Diferenca de gols (pressionante - adversario),placar corrido ate o timestamp,gols,15958,15958,0,0.0,0.2802,-5.0,5.0,-0.002067928311818524,0.0,1.0948308632783978,0.0,1.0,1.0,-0.12056188400514929,2.9639105897062215,1363.0,Mann-Whitney U,25642792.5,0.880922697650611,1.0,0.880922697650611,0.055062199938385493,False,0.01340839391870655,Cohen d,-0.006180900147993384,0.008499217177365242,0.0,0.0,0.014680117325358625,0.01340839391870655,recupera mais com valor alto,,False,0.02586522294703362,dist_to_goal,False,,,,,,,,,,False,False,,,EXCLUIR,sem associacao univariada (p_BH >= alpha),1,2026-05-16T13:36:33,,,,,,
n_teammates_10m,Freeze frame 360,2.4.1,continua,Companheiros em 10m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,1.0,9.0,2.2946639045646116,2.0,1.1928464503920084,1.0,3.0,2.0,0.9522960432916895,0.9849265580211402,54.0,Mann-Whitney U,17753727.5,2.62335497034527e-22,5.509045437725067e-21,1.3772613594312669e-21,21.581142940354447,True,0.18542929385600584,Cohen d,2.2329066190334426,2.4533401325854154,2.0,2.0,0.22043351355197283,0.18542929385600584,recupera mais com valor alto,,False,0.6360982089226472,numerical_superiority,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
n_adversaries_5m,Freeze frame 360,2.4.1,continua,Adversarios em 5m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,0.0,5.0,1.043360240017144,1.0,0.6049446403447271,1.0,1.0,0.0,0.7066322946791597,2.4145388034807467,4165.0,Mann-Whitney U,18794420.5,2.2453188616474248e-08,4.715169609459592e-07,4.286517826781447e-08,7.648721975364168,True,0.10077461815323004,Cohen d,1.0262975091793192,1.087200407955125,1.0,1.0,0.06090289877580579,0.10077461815323004,recupera mais com valor alto,,False,0.5747538671989142,nearest_opponent_dist,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
n_opponents_10m,Freeze frame 360,2.4.1,continua,Adversarios em 10m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,0.0,9.0,1.963997428387742,2.0,1.0354432794521713,1.0,2.0,1.0,1.2636227717324502,2.439950678737786,1103.0,Mann-Whitney U,18717640.0,2.5612634953859913e-07,5.378653340310582e-06,4.137425646392755e-07,6.591545740272066,True,0.09696705783294526,Cohen d,1.9358936191326783,2.0362060173380927,2.0,2.0,0.10031239820541438,0.09696705783294526,recupera mais com valor alto,,False,0.46655838317455983,n_adversaries_5m,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
nearest_teammate_dist,Freeze frame 360,2.4.1,continua,Distancia do companheiro mais proximo a bola,minimo das distancias,metros,15958,13999,1959,12.276,0.2802,0.0,4.315837291534985e-06,1.653664459297735e-06,1.5377536236313436e-06,1.0316302973250998e-06,7.864199848666945e-07,2.157918640743197e-06,1.3714986558765023e-06,0.45234442170865913,-0.666622493227512,174.0,Mann-Whitney U,20683665.5,1.712630798350736e-05,0.0003596524676536546,2.2478279228353412e-05,4.766336250298174,True,-0.07691243935230434,Cohen d,1.6758815825913472e-06,1.5965808408811788e-06,1.537753630681902e-06,1.5258789076710855e-06,-7.930074171016837e-08,-0.07691243935230434,recupera mais com valor baixo,,False,0.4256950492240098,dist_to_goal,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
nearest_opponent_dist,Freeze frame 360,2.4.1,continua,Distancia do adversario mais proximo a bola,minimo das distancias,metros,15958,13999,1959,12.276,0.2802,0.20738826063542828,18.634779769049533,3.164719719031307,2.859938862381805,1.780915532676095,1.8887016870405313,4.0865660903911945,2.197864403350663,1.2537224069568995,2.9808068965322163,368.0,Mann-Whitney U,21027368.0,3.690497596864359e-09,7.750044953415154e-08,7.750044953415154e-09,8.432915073135542,True,-0.11616802577117023,Cohen d,3.2226046818519274,3.0159928525490565,2.9115282849620816,2.743193041741235,-0.20661182930287092,-0.11616802577117023,recupera mais com valor baixo,,False,0.5747538671989142,n_adversaries_5m,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
numerical_superiority,Freeze frame 360,2.4.1,continua,Superioridade numerica local,n_teammates_10m - n_opponents_10m,contagem,15958,13999,1959,12.276,0.2802,-6.0,6.0,0.3306664761768698,0.0,1.2330967386714728,0.0,1.0,1.0,0.03386970770123277,0.9891671945509404,1382.0,Mann-Whitney U,18624772.5,3.686624930743378e-08,7.741912354561095e-07,6.451593628800912e-08,7.433371044328862,True,0.09750405801210847,Cohen d,0.29701299990076413,0.4171341152473228,0.0,0.0,0.12012111534655867,0.09750405801210847,recupera mais com valor alto,,False,0.6360982089226472,n_teammates_10m,False,,,,,,,,,,False,False,,,INCLUIR,aprovada nos testes executados,1,2026-05-16T13:36:33,,,,,,
