feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
dist_to_goal,"(2.758, 33.909]",23.95508036758612,1596,437,0.27380952380952384,0.2524951224340426,0.29621019939281823
dist_to_goal,"(33.909, 45.216]",39.932213667480426,1596,425,0.26629072681704263,0.2451846918530789,0.28851914482675245
dist_to_goal,"(45.216, 54.514]",49.98209053551509,1596,424,0.2656641604010025,0.24457584714405903,0.28787786577351965
dist_to_goal,"(54.514, 62.66]",58.43520118140017,1595,372,0.23322884012539186,0.21313096108790586,0.2546086824139895
dist_to_goal,"(62.66, 70.797]",66.67712346580939,1596,404,0.2531328320802005,0.23241080616709403,0.2750404315054355
dist_to_goal,"(70.797, 78.934]",74.83532301399343,1596,422,0.2644110275689223,0.24335832472528904,0.28659514066778485
dist_to_goal,"(78.934, 86.998]",82.97216787095522,1595,448,0.2808777429467085,0.25936800288950435,0.30344047044519007
dist_to_goal,"(86.998, 95.794]",91.28888096280711,1596,512,0.3208020050125313,0.2983546659945336,0.34410993800126194
dist_to_goal,"(95.794, 105.452]",100.35904486272098,1596,531,0.33270676691729323,0.3100158966786836,0.35620105879990865
dist_to_goal,"(105.452, 122.87]",111.57049272214373,1596,496,0.3107769423558897,0.28854786666106347,0.33391475713869256
