feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
duration,"(0.016999999999999998, 0.335]",0.25799211842105263,1596,513,0.32142857142857145,0.29896799488026754,0.3447467328777805
duration,"(0.335, 0.45]",0.38709661654135336,1596,519,0.325187969924812,0.30264895428433425,0.34856651604722844
duration,"(0.45, 0.518]",0.47883076942355884,1596,490,0.30701754385964913,0.2848734922048559,0.3300883890213854
duration,"(0.518, 0.596]",0.5632821197492163,1595,438,0.2746081504702194,0.2532655716699871,0.29703384510776
duration,"(0.596, 0.711]",0.6489745162907268,1596,458,0.2869674185463659,0.26530699567601673,0.3096509251581458
duration,"(0.711, 0.814]",0.7487184429824562,1596,416,0.2606516290726817,0.23970710261005979,0.2827456202094992
duration,"(0.814, 0.963]",0.878613668338558,1595,405,0.25391849529780564,0.23316652397106402,0.27585300616875724
duration,"(0.963, 1.218]",1.0722363709273184,1596,406,0.2543859649122807,0.23362627911505807,0.2763252060819764
duration,"(1.218, 1.725]",1.4269113352130327,1596,399,0.25,0.22937314653994725,0.27182747232132
duration,"(1.725, 11.408]",2.689380987468671,1596,427,0.2675438596491228,0.2464025476463513,0.28980153655798485
