feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
minute,"(-0.001, 7.0]",3.4118372379778052,1622,450,0.27743526510480887,0.2561909246111019,0.2997313743385622
minute,"(7.0, 17.0]",12.469523234761617,1657,462,0.2788171394085697,0.2577564395743127,0.30090105070049733
minute,"(17.0, 27.0]",22.482005141388175,1556,451,0.2898457583547558,0.26784218992068937,0.31288446847847123
minute,"(27.0, 37.0]",32.57161207450225,1557,417,0.2678227360308285,0.24641783904814665,0.29037051923241175
minute,"(37.0, 46.0]",42.42429682824656,1671,469,0.28067025733093953,0.25964799451507725,0.30269867755229907
minute,"(46.0, 55.0]",50.68847352024922,1605,421,0.2623052959501558,0.24137018260061752,0.28437554650037056
minute,"(55.0, 65.0]",60.43084050297816,1511,418,0.27663798808735934,0.2546701598531824,0.2997386971520647
minute,"(65.0, 77.0]",71.41621621621621,1665,480,0.2882882882882883,0.26703745645553056,0.31051382222783874
minute,"(77.0, 88.0]",83.07889908256881,1635,458,0.2801223241590214,0.2588900651783245,0.30238541135339153
minute,"(88.0, 124.0]",97.97836375929683,1479,445,0.3008789722785666,0.2780448397935077,0.32474483106547003
