team_name,ranking_no_time,player_name,minutes_played,total_pressures_abs,pressures_per_90,residuo_medio,ranking_residual,ranking_intensidade_p90
Austria,1,Daniel Bachmann,402,1,0.22388059701492538,0.632862165158607,1,263
Austria,2,Andreas Ulmer,188,22,10.53191489361702,0.10743288333082579,18,180
Austria,3,Xaver Schlager,374,99,23.823529411764707,0.09109951354067168,25,14
Austria,4,Martin Hinteregger,402,42,9.402985074626866,0.036072387755223256,74,203
Austria,5,Stefan Lainer,394,80,18.274111675126903,0.023912663767672142,95,60
Belgium,1,Anga Dedryck Boyata,184,11,5.380434782608696,0.25841088455676653,5,247
Belgium,2,Thomas Vermaelen,303,28,8.316831683168317,0.11255712057895059,16,217
Belgium,3,Toby Alderweireld,378,15,3.571428571428571,0.08559666217936891,28,257
Belgium,4,Youri Tielemans,349,51,13.151862464183383,0.07071648506465253,35,137
Belgium,5,Jan Vertonghen,362,21,5.220994475138121,0.07041767453492678,36,248
Croatia,1,Dejan Lovren,186,8,3.870967741935484,0.12055984080810891,15,255
Croatia,2,Šime Vrsaljko,186,39,18.870967741935484,0.06614880217611938,40,54
Croatia,3,Nikola Vlašić,209,54,23.25358851674641,0.059921729818303904,46,15
Croatia,4,Luka Modrić,393,76,17.404580152671755,0.04986215226362503,60,73
Croatia,5,Domagoj Vida,401,26,5.835411471321696,0.04174985513930595,71,244
Czech Republic,1,Jan Bořil,375,50,12.0,0.08838658021705532,26,157
Czech Republic,2,Tomáš Souček,471,85,16.24203821656051,0.0536066913562168,56,89
Czech Republic,3,Patrik Schick,403,49,10.942928039702233,0.042938510853393674,69,174
Czech Republic,4,Petr Ševčík,237,41,15.569620253164556,0.04077156883874983,72,103
Czech Republic,5,Tomáš Kalas,471,35,6.687898089171974,0.02072792875337479,102,237
Denmark,1,Simon Thorup Kjær,542,54,8.966789667896679,0.15410260862187777,8,212
Denmark,2,Jannik Vestergaard,504,36,6.428571428571428,0.10355754223896797,19,239
Denmark,3,Thomas Delaney,457,71,13.982494529540483,0.034979905337346594,76,123
Denmark,4,Pierre-Emile Højbjerg,594,104,15.757575757575758,0.014725356808284091,112,99
Denmark,5,Mikkel Damsgaard,326,59,16.28834355828221,0.00990809612790715,121,88
England,1,Tyrone Mings,201,9,4.029850746268656,0.26386723362195874,3,254
England,2,Kyle Walker,611,52,7.659574468085106,0.13412760376823668,11,225
England,3,Harry Maguire,525,25,4.285714285714286,0.1303813061842569,12,252
England,4,Mason Mount,468,119,22.884615384615383,0.05111030884959945,57,18
England,5,Raheem Sterling,655,67,9.206106870229007,0.019769260767603006,105,207
Finland,1,Paulus Arajuuri,283,25,7.95053003533569,0.04588208809523836,66,220
Finland,2,Joona Toivio,270,31,10.333333333333334,0.031083473444308216,79,185
Finland,3,Jukka Raitala,256,61,21.4453125,0.01370837374333601,116,25
Finland,4,Robin Lod,280,95,30.53571428571429,0.012644123044942604,118,4
Finland,5,Jere Juhani Uronen,259,57,19.806949806949806,-0.0083896567017928,144,40
France,1,Antoine Griezmann,365,81,19.972602739726028,0.07442780572851114,33,37
France,2,Raphaël Varane,415,32,6.939759036144579,0.05453391126412148,54,234
France,3,Karim Benzema,350,33,8.485714285714286,0.014663646070210276,114,215
France,4,Presnel Kimpembe,415,36,7.807228915662651,-0.015446864175634019,154,222
France,5,Paul Pogba,395,74,16.860759493670887,-0.03678894015352032,188,77
Germany,1,Toni Kroos,380,78,18.473684210526315,0.0814634088875576,31,58
Germany,2,İlkay Gündoğan,227,36,14.273127753303966,0.04664055882110185,64,118
Germany,3,Matthias Ginter,348,28,7.241379310344827,0.027377860593354404,86,231
Germany,4,Antonio Rüdiger,380,38,9.0,0.02612347215329372,91,210
Germany,5,Serge Gnabry,253,43,15.296442687747035,0.02576857110244795,93,107
Hungary,1,László Kleinheisler,248,44,15.967741935483872,0.13823707519585962,10,95
Hungary,2,Willi Orban,283,26,8.268551236749117,0.12854296267149237,13,218
Hungary,3,Endre Botka,283,37,11.766784452296822,0.0708224914717599,34,164
Hungary,4,Ádám Nagy,275,36,11.781818181818183,0.022638921950546967,98,163
Hungary,5,Attila Szalai,283,38,12.084805653710248,-0.0088304977438638,145,156
Italy,1,Andrea Belotti,245,35,12.857142857142856,0.08081541081459512,32,145
Italy,2,Giorgio Chiellini,466,28,5.407725321888412,0.07011623089279133,37,246
Italy,3,Jorge Luiz Frello Filho,730,136,16.767123287671232,0.05109033052022117,58,79
Italy,4,Leonardo Spinazzola,386,41,9.55958549222798,0.050229620904869654,59,199
Italy,5,Marco Verratti,399,76,17.142857142857142,0.0491868794034587,62,75
Netherlands,1,Stefan de Vrij,330,55,15.0,0.10882519420068248,17,109
Netherlands,2,Frenkie de Jong,363,68,16.859504132231404,0.03773073013835213,73,78
Netherlands,3,Denzel Dumfries,330,64,17.454545454545453,0.02652780282438732,90,72
Netherlands,4,Memphis Depay,332,48,13.012048192771084,0.023940883884351987,94,138
Netherlands,5,Wout Weghorst,203,58,25.71428571428571,0.010388935491966693,120,11
North Macedonia,1,Arijan Ademi,256,40,14.0625,0.06838706659195443,38,121
North Macedonia,2,Ezgjan Alioski,282,43,13.72340425531915,0.055276134385582675,51,127
North Macedonia,3,Enis Bardhi,234,29,11.153846153846153,0.023442193517848375,96,172
